kernel,M,N,K,flops,mean_ms,p50_ms,min_ms,gflops,pct_peak
sgemm,32,768,768,37748736,0.027818,0.027771,0.026666,1415.613,98.84
sgemm,32,1024,1024,67108864,0.054828,0.054375,0.054167,1238.925,86.51
sgemm,32,1536,1536,150994944,0.201011,0.205521,0.173750,869.036,60.68
sgemm,32,2048,2048,268435456,1.088363,1.060709,0.944709,284.146,19.84
sgemm,48,64,64,393216,0.000713,0.000667,0.000583,674.470,47.09
sgemm,48,128,128,1572864,0.001783,0.001708,0.001583,993.597,69.38
sgemm,48,192,192,3538944,0.003686,0.003334,0.003167,1117.444,78.02
sgemm,48,256,256,6291456,0.005682,0.005583,0.005375,1170.503,81.73
sgemm,48,384,384,14155776,0.011842,0.011645,0.011291,1253.722,87.54
sgemm,48,512,512,25165824,0.023724,0.023187,0.020458,1230.121,85.89
sgemm,48,768,768,56623104,0.043367,0.043416,0.042375,1336.238,93.30
sgemm,48,1024,1024,100663296,0.091965,0.086792,0.085916,1171.648,81.81
